-0.2403,-0.69333,1.0383,-0.054957,-1.2831,-0.58943,-0.94668,-0.15707,-1.7083,0.99993,-0.7249,0.55898,1.0027,-0.63294,2.861,-0.80952,-1.5458
-2.3152,-2.978,-0.46013,2.8926,-0.76976,-0.73315,1.4321,-1.7253,-0.10979,1.7442,-1.2357,-0.29718,0.37311,-0.047735,0.26894,0.21894,0.23246
0.18499,1.1103,-0.98208,0.47931,-1.3314,-0.41835,0.21594,-0.81979,0.71236,-0.77145,-0.30589,1.6657,-0.68878,0.31732,-1.1462,1.443,-1.0322
-0.31749,-0.02138,0.27823,1.8135,-1.1347,0.37283,-1.1965,-1.7025,0.28081,-0.35629,0.72325,0.67586,0.15731,0.12168,0.53349,-1.1057,0.2938
-1.2162,-1.4251,1.102,-0.65262,1.3347,0.015651,0.11164,0.32496,0.29306,0.45011,-0.044031,-0.87539,-0.058322,0.090531,1.9129,-0.049642,2.2494
0.28896,-0.87318,-0.87692,0.78592,-1.7694,0.44226,0.53483,-0.88832,0.33618,-1.2787,-0.45369,0.42707,-0.29332,0.48623,-0.6313,-1.6658,-0.8901
-0.073902,-0.83549,-1.3596,-0.366,1.1603,0.85339,0.59591,1.6432,-0.79182,1.2905,-0.86354,0.041511,-1.1913,-1.0409,-0.67719,0.78535,0.75218
-1.1644,0.60437,-1.0374,-0.17158,-1.803,-0.2224,0.59789,0.068229,-1.0176,-0.56588,-1.0309,-0.2707,0.70574,-0.52264,-1.188,-0.63865,-2.022
0.33902,-0.80761,-0.081671,-1.043,-0.056258,-0.33,0.046736,0.905,0.15896,0.56625,-0.2761,1.4717,0.023321,0.53529,-0.52891,0.53622,-0.1912
-1.2205,-0.095691,-0.29493,-0.17315,0.88429,-0.77599,1.3369,0.39665,0.531,-0.09901,-2.2733,1.2606,-2.2564,0.23702,-0.37583,-2.2863,1.3524
-0.50256,-0.39079,-0.14014,0.68033,-0.55435,0.0057513,-1.0774,-1.3321,-0.45771,-0.67642,-0.15609,0.079597,0.23404,0.033443,1.0329,0.64187,0.039253
-1.3473,1.0217,0.4884,0.29382,-0.0018882,1.8781,-1.6834,-0.94467,-0.56937,-1.8071,-0.79898,0.044177,-0.36831,-0.9959,0.32928,-0.040703,0.638
1.1174,-1.2796,0.56782,0.57008,-0.1855,-1.4786,0.57173,-0.5718,-0.13798,0.51921,-1.6123,-0.27091,-0.28859,-0.86475,-0.032083,2.0003,-0.37076
-0.2184,0.88591,0.85557,0.47676,-0.69772,-0.65026,-0.53112,-0.87859,-0.82182,-0.81338,-0.83278,-1.2035,-0.76372,-0.34949,-0.44869,-0.62843,0.90714
-2.1203,-0.52124,-0.92617,-0.93504,-0.079554,1.1224,0.51144,-0.076988,0.31094,-1.44,2.0957,-0.28974,1.8198,1.1451,0.18898,-0.5294,0.14191
